id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit
,,15000,15000,15000, 36 months,10.49%,487.47,B,B3,Fleet Tech III,10+ years,MORTGAGE,84000,Not Verified,Dec-14,Fully Paid,n,,,credit_card,Credit card refinancing,363xx,AL,19.73,0,Mar-03,2,,96,10,1,4590,69.50%,77,f,0,0,17156.8,17156.8,15000,2156.8,0,0,0,Nov-16,6933.04,,Nov-21,0,,1,Individual,,,,0,0,80333,,,,,,,,,,,,6600,,,,12,8926,,,0,0,125,127,14,1,1,,,1,,0,0,2,0,9,59,4,17,2,10,0,0,0,5,100,,1,0,119505,46198,0,47305
,,27525,27525,27525, 60 months,22.99%,775.79,F,F1,relationship manager,5 years,RENT,60000,Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,333xx,FL,31.14,0,Apr-87,1,,,17,0,8936,13.40%,37,f,0,0,27607.62,27607.62,27525,82.62,0,0,0,Jan-15,27660.35,,Feb-17,0,,1,Individual,,,,0,0,59623,,,,,,,,,,,,66500,,,,10,3726,40256,18,0,0,123,332,2,1,0,2,,1,,0,4,6,8,21,9,14,28,6,17,0,0,0,8,100,0,0,0,120365,59623,49100,53865
,,15000,15000,15000, 60 months,11.99%,333.6,B,B5,Pilot,3 years,RENT,40000,Source Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,853xx,AZ,24.36,0,Oct-03,0,,,7,0,10017,89.40%,11,w,0,0,19920.09992,19920.1,15000,4920.1,0,0,0,Jul-19,1521.23,,Jul-19,0,,1,Individual,,,,0,0,81956,,,,,,,,,,,,11200,,,,0,11708,683,93.6,0,0,120,134,58,50,0,111,,17,,0,2,2,2,4,6,3,5,2,7,0,0,0,0,100,100,0,0,92501,81956,10700,81301
,,10975,10975,10975, 60 months,14.99%,261.04,C,C5,"Exec Budget Coord, Acad",10+ years,OWN,60400,Source Verified,Dec-14,Charged Off,n,,,debt_consolidation,Debt consolidation,368xx,AL,33.66,0,Mar-82,0,,,22,0,52253,61.50%,45,f,0,0,5559.92,5559.92,2484.42,2191.45,0,884.05,159.129,Jul-16,261.04,,Feb-17,0,,1,Individual,,,,0,0,311262,,,,,,,,,,,,86100,,,,3,16382,11767,81.4,0,0,116,393,12,12,4,15,,3,,0,8,14,10,18,3,20,38,14,22,0,0,0,1,100,60,0,0,364865,58511,45800,20168
,,11175,11175,11175, 36 months,19.99%,415.25,E,E3,Cash Mgmt Clerk,7 years,RENT,31240,Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,704xx,LA,15.02,0,Dec-06,0,,,9,0,11046,37.10%,23,f,0,0,14930.19009,14930.19,11175,3755.19,0,0,0,Jan-18,415.06,,Sep-20,0,,1,Individual,,,,0,0,14539,,,,,,,,,,,,29800,,,,8,1615,14906,37.1,0,0,96,42,6,1,0,6,,,,0,3,5,5,5,14,8,9,5,9,0,0,0,5,100,20,0,0,33335,14539,23700,3535
,,21000,21000,21000, 60 months,8.19%,427.72,A,A5,Milk Lab Manager,6 years,MORTGAGE,48500,Source Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,881xx,NM,12.99,0,Aug-96,0,,,8,0,8549,19.90%,16,w,0,0,24597.4439,24597.44,21000,3597.44,0,0,0,Sep-17,11362.01,,Sep-17,0,,1,Individual,,,,0,0,62365,,,,,,,,,,,,42900,,,,2,7796,34351,19.9,0,0,128,220,36,17,3,36,,17,,0,4,4,5,6,7,5,6,4,8,0,0,0,0,100,0,0,0,109450,15117,42900,15050
,,14000,14000,14000, 36 months,16.49%,495.6,D,D3,Customerservice,9 years,RENT,45000,Source Verified,Dec-14,Charged Off,n,,,credit_card,Credit card refinancing,331xx,FL,13.47,0,Aug-08,1,,,20,0,10585,39.90%,22,f,0,0,2955.08,2955.08,303.22,173.14,0,2478.72,446.1696,Feb-15,495.6,,Aug-21,0,,1,Individual,,,,0,0,15659,,,,,,,,,,,,26500,,,,14,783,8970,48.4,0,0,7,76,1,1,0,1,,4,,0,4,7,9,9,1,19,21,7,20,0,0,0,3,100,44.4,0,0,32225,15659,17400,5725
,,2400,2400,2400, 36 months,14.31%,82.39,C,C4,Sgt,7 years,OWN,35000,Source Verified,Dec-14,Fully Paid,n,,,other,Other,283xx,NC,24.45,1,May-07,0,19,47,8,1,7467,46.10%,15,f,0,0,2418.13,2418.13,2400,18.13,0,0,0,Jan-15,2420.99,,Jun-21,0,,1,Individual,,,,0,351,18342,,,,,,,,,,,,16200,,,,1,2293,1074,73.1,0,0,51,91,6,6,0,6,,3,19,0,2,5,3,3,4,7,11,5,8,0,0,0,1,80,66.7,0,1,35172,18342,4000,18972
,,18000,18000,18000, 36 months,11.44%,593.06,B,B4,Industrial Worker,2 years,OWN,45000,Not Verified,Dec-14,Fully Paid,n,,,credit_card,Credit card refinancing,196xx,PA,8.54,0,Aug-06,0,28,,18,0,10399,82.50%,26,f,0,0,18707.1,18707.1,18000,707.1,0,0,0,May-15,16945.08,,Jul-21,0,,1,Individual,,,,0,0,69669,,,,,,,,,,,,12600,,,,6,3871,741,91.3,0,0,86,100,15,11,0,15,28,19,28,0,2,3,2,2,21,4,5,3,18,0,0,0,1,96.2,100,0,0,66350,69669,8500,53750
,,6000,6000,6000, 36 months,11.99%,199.26,B,B5,International Adviser,2 years,RENT,42000,Not Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,787xx,TX,11.03,0,Aug-04,2,26,,17,0,12056,50.70%,25,f,0,0,6673.91,6673.91,6000,673.91,0,0,0,Jan-16,4312.25,,Apr-21,0,,1,Individual,,,,0,0,94814,,,,,,,,,,,,23800,,,,1,5577,10144,54.3,0,0,124,117,5,5,0,41,29,2,26,0,2,2,4,9,12,6,13,2,17,0,0,0,1,92,25,0,0,105705,94814,22200,81905
,,3000,3000,3000, 36 months,8.19%,94.28,A,A5,operator,10+ years,MORTGAGE,85000,Not Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,670xx,KS,11.97,0,Jul-02,0,63,,5,0,11873,79.20%,19,f,0,0,3071.13,3071.13,3000,71.13,0,0,0,Apr-15,2884.62,,Nov-20,0,63,1,Individual,,,,0,0,128450,,,,,,,,,,,,15000,,,,2,32113,3127,79.2,0,0,128,145,43,7,3,109,63,7,63,1,1,1,1,6,6,2,10,1,5,0,0,0,1,94.7,100,0,0,149476,36611,15000,28856
,,2400,2400,2400, 36 months,8.19%,75.42,A,A5,Technologist,5 years,RENT,42500,Source Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,232xx,VA,33.21,0,Dec-88,0,,,10,0,19059,46%,41,w,0,0,2515.72,2515.72,2400,115.72,0,0,0,Aug-15,2064.84,,Nov-21,0,,1,Individual,,,,0,0,66967,,,,,,,,,,,,41400,,,,5,6697,13248,55.8,0,0,312,271,5,5,0,48,,13,,0,2,4,2,6,25,6,16,4,10,0,0,0,3,100,0,0,0,104165,66967,30000,62765
,,4500,4500,4500, 36 months,14.99%,155.98,C,C5,Nanny,4 years,OWN,34000,Not Verified,Dec-14,Charged Off,n,,,major_purchase,Major purchase,210xx,MD,28.77,0,Feb-97,1,25,54,18,1,12506,45%,51,f,0,0,1818.47,1818.47,1055.67,524.49,30,208.31,37.4958,Mar-16,55.98,,Feb-19,0,25,1,Individual,,,,0,5098,24481,,,,,,,,,,,,27800,,,,6,1440,890,90.1,0,0,167,214,8,3,0,8,63,3,63,8,2,7,2,20,4,17,45,7,18,0,0,0,2,82,100,0,0,40239,24481,9000,12439
,,8000,8000,8000, 36 months,12.39%,267.21,C,C1,Owner,8 years,RENT,70000,Source Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,064xx,CT,11.91,0,Jul-07,0,,,6,0,10709,99.20%,10,w,0,0,9617.18625,9617.19,8000,1617.19,0,0,0,Nov-17,519.85,,Mar-21,0,,1,Individual,,,,0,0,355328,,,,,,,,,,,,10800,,,,3,59221,91,99.2,0,0,88,89,14,14,1,14,,15,,0,3,3,3,3,6,3,3,3,6,0,0,0,0,100,100,0,0,371960,32747,10800,28301
,,1500,1500,1500, 36 months,14.31%,51.5,C,C4,Export Analyst,10+ years,RENT,53800,Not Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,303xx,GA,15.93,0,Oct-07,0,,,4,0,3981,94.80%,6,f,0,0,1851.878824,1851.88,1500,351.88,0,0,0,Jan-18,51.17,,Dec-17,0,,1,Individual,,,,0,0,23372,,,,,,,,,,,,4200,,,,3,5843,219,94.8,0,0,86,26,4,4,0,4,,,,0,2,2,2,2,4,2,2,2,4,0,0,0,2,100,100,0,0,29118,23372,4200,24918
,,4200,4200,4200, 36 months,6.99%,129.67,A,A3,administrative assistant,10+ years,MORTGAGE,55000,Not Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,560xx,MN,21.3,0,Mar-02,0,,,12,0,5268,33.10%,18,f,0,0,4588.910001,4588.91,4200,388.91,0,0,0,Nov-16,1868.29,,Nov-19,0,,1,Individual,,,,0,0,59352,,,,,,,,,,,,15900,,,,3,4946,1222,49.1,0,0,50,153,18,6,1,36,,18,,0,1,6,2,2,5,8,12,6,12,0,0,0,1,100,50,0,0,113062,37031,2400,47162
,,10000,10000,10000, 36 months,10.49%,324.98,B,B3,911 Director,10+ years,MORTGAGE,117000,Source Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,439xx,OH,25.65,0,Nov-84,0,46,,11,0,3735,60.20%,36,f,0,0,11690.42567,11690.43,10000,1690.43,0,0,0,Jan-18,324.87,,Jun-21,0,,1,Individual,,,,0,670,399159,,,,,,,,,,,,6200,,,,7,36287,2465,60.2,0,0,166,361,11,11,3,11,46,0,46,0,5,5,5,5,26,5,7,5,11,0,0,0,2,97.1,20,0,0,448754,94543,6200,126554
,,12000,12000,12000, 36 months,12.99%,404.27,C,C2,Business Manager,10+ years,RENT,82000,Not Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,130xx,NY,15.1,0,Mar-04,1,,111,12,1,7797,65.50%,25,f,0,0,14178.97507,14178.98,12000,2178.98,0,0,0,Dec-16,5298.03,,Apr-21,0,,1,Individual,,,,0,0,37313,,,,,,,,,,,,11900,,,,4,3392,2353,76.7,0,0,122,129,1,1,0,1,,5,,0,4,5,5,8,13,8,12,5,12,0,0,0,3,100,80,1,0,46416,37313,10100,34516
,,16000,16000,16000, 60 months,17.14%,398.85,D,D4,Senior Care Coordinator,1 year,RENT,40000,Not Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,327xx,FL,25.96,0,Sep-02,0,26,,9,0,14411,94.20%,27,w,0,0,22882.24375,22882.24,16000,6882.24,0,0,0,Sep-18,129.54,,Nov-20,0,26,1,Individual,,,,0,0,312679,,,,,,,,,,,,15300,,,,2,39085,589,96.1,0,0,147,130,6,6,0,6,,22,35,1,4,4,5,5,18,6,8,4,9,0,0,0,1,92.6,100,0,0,340090,312679,15000,324790
,,17600,17600,17600, 60 months,9.49%,369.55,B,B2,High Pressure Plant Tender,< 1 year,MORTGAGE,65000,Not Verified,Dec-14,Fully Paid,n,,,credit_card,Credit card refinancing,077xx,NJ,15.36,0,Sep-81,0,,,10,0,22901,35%,24,w,0,0,20010.02,20010.02,17600,2410.02,0,0,0,Sep-16,13002.49,,Jan-18,0,,1,Individual,,,,0,0,221998,,,,,,,,,,,,65400,,,,1,22200,27119,45.5,0,0,164,399,32,20,4,134,,22,,0,3,6,4,7,3,8,17,6,10,0,0,0,0,100,25,0,0,290819,23740,49800,10919
,,5000,5000,5000, 36 months,14.99%,173.31,C,C5,HEAD TELLER,4 years,RENT,32000,Source Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,076xx,NJ,38.86,0,Oct-10,1,,,17,0,9797,94.20%,20,f,0,0,5233.27,5233.27,5000,233.27,0,0,0,Apr-15,4892.9,,Dec-17,0,,1,Individual,,,,0,0,53901,,,,,,,,,,,,10400,,,,5,3171,403,95.4,0,0,50,47,15,14,0,15,,1,,0,3,4,3,3,14,4,6,4,17,0,0,0,0,100,100,0,0,71715,53901,8800,61315
,,8000,8000,8000, 36 months,10.49%,259.99,B,B3,Senior Logistics Analyst,3 years,MORTGAGE,94000,Not Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,358xx,AL,22.33,0,Mar-95,2,,,24,0,32776,43.90%,58,f,0,0,8525.76,8525.76,8000,525.76,0,0,0,Sep-15,6712.82,,Aug-21,0,,1,Individual,,,,0,0,256696,,,,,,,,,,,,74700,,,,11,11668,12118,68.3,0,0,154,237,2,2,6,12,,2,,0,5,8,8,15,18,17,34,8,24,0,0,0,4,100,50,0,0,323167,79549,38200,63467
,,28000,28000,28000, 60 months,15.59%,674.83,D,D1,Department Chair Undergraduate Marketing,3 years,OWN,90000,Source Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,060xx,CT,14.67,0,Dec-95,0,,,25,0,11156,66.40%,49,w,0,0,40452.60662,40452.61,28000,12452.61,0,0,0,Dec-19,674.02,,Oct-21,0,,1,Individual,,,,0,0,420006,,,,,,,,,,,,16800,,,,3,16800,5644,66.4,0,0,228,115,5,5,5,5,,12,,0,9,9,11,16,27,11,17,9,25,0,0,0,2,100,36.4,0,0,425911,237880,16800,219511
,,12000,12000,12000, 60 months,17.86%,303.81,D,D5,Nurse,4 years,RENT,60000,Source Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,841xx,UT,28.78,0,Jun-04,0,,,12,0,13846,41.10%,15,w,0,0,12523.86,12523.86,12000,523.86,0,0,0,Apr-15,11934.1,,Sep-19,0,,1,Individual,,,,0,0,47115,,,,,,,,,,,,33700,,,,5,4283,11458,48.6,0,0,115,126,4,4,0,4,,9,,0,2,5,4,4,4,9,10,5,12,0,0,0,3,100,25,0,0,75735,47115,22300,40742
,,24000,24000,24000, 36 months,11.44%,790.74,B,B4,RN,10+ years,MORTGAGE,80000,Source Verified,Dec-14,Fully Paid,n,,,credit_card,Credit card refinancing,324xx,FL,26.2,0,Jun-96,1,41,,22,0,44074,61.60%,44,f,0,0,27344.62434,27344.62,24000,3344.62,0,0,0,Apr-17,1382.75,,Apr-18,0,,1,Individual,,,,0,0,58232,,,,,,,,,,,,71500,,,,7,3065,18202,61,0,0,170,222,1,1,2,21,,1,42,0,4,11,6,7,10,20,32,11,22,0,0,0,2,93,16.7,0,0,89212,58232,46700,17712
,,9000,9000,9000, 36 months,16.49%,318.6,D,D3,Psych Therapyst ,1 year,RENT,32000,Not Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,631xx,MO,23.78,0,Sep-02,2,,,8,0,7112,68.80%,15,f,0,0,11635.32836,11635.33,9000,2635.33,0,0,0,May-18,285.61,,Sep-19,0,,1,Individual,,,,0,0,59675,,,,,,,,,,,,12000,,,,4,7459,2768,91.1,0,0,123,147,4,4,0,4,,4,,0,3,5,3,6,5,5,10,5,8,0,0,0,2,100,33.3,0,0,68526,59675,7000,56526
,,5675,5675,5675, 36 months,12.39%,189.56,C,C1,Community Manager,2 years,RENT,50000,Source Verified,Dec-14,Fully Paid,n,,,car,Car financing,802xx,CO,15.55,1,Mar-92,0,12,,7,0,2916,15%,15,f,0,0,6705.035447,6705.04,5675,1030.04,0,0,0,Feb-17,2161.46,,Feb-17,0,,1,Individual,,,,0,259,18002,,,,,,,,,,,,19500,,,,3,3000,12984,18.3,0,0,36,273,20,6,0,40,,,12,0,2,2,3,3,2,5,13,2,7,0,0,0,1,86.7,50,0,0,41440,18002,15900,21940
,,9600,9600,9600, 36 months,7.49%,298.58,A,A4,Store Manager,7 years,MORTGAGE,42000,Source Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,629xx,IL,11.51,0,Oct-00,1,,82,10,1,11564,30.90%,22,w,0,0,10666.70519,10666.71,9600,1066.71,0,0,0,Apr-17,2909.62,,May-21,0,,1,Individual,,,,0,0,91133,,,,,,,,,,,,37400,,,,5,9113,7209,55.5,0,0,170,78,3,3,2,17,,2,,0,2,4,2,2,13,7,7,4,10,0,0,0,3,100,0,1,0,121783,23595,16200,14507
,,3625,3625,3625, 36 months,16.49%,128.33,D,D3,Financial Advisor,< 1 year,MORTGAGE,75000,Not Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,273xx,NC,17.71,0,Jan-03,0,,,6,0,1059,81.50%,12,f,0,0,3835.45,3835.45,3625,210.45,0,0,0,May-15,3455.44,,May-20,0,,1,Individual,,,,0,0,51161,,,,,,,,,,,,1300,,,,3,8527,241,69.9,0,0,122,143,86,3,2,93,,,,0,2,3,2,2,7,3,3,3,6,0,0,0,3,100,50,0,0,59801,51161,800,58501
,,20975,20975,20975, 60 months,12.39%,470.73,C,C1,dispatch supv,10+ years,MORTGAGE,46800,Verified,Dec-14,Fully Paid,n,,,home_improvement,Home improvement,728xx,AR,20.79,0,Mar-77,2,30,,4,0,2110,33%,50,w,0,0,28221.44335,28221.44,20975,7246.44,0,0,0,Dec-19,470.03,,Oct-21,0,,1,Individual,,,,0,0,50550,,,,,,,,,,,,6450,,,,0,12637,5400,32,0,0,137,453,58,9,4,63,,2,28,0,1,2,9,9,28,2,18,2,4,,0,0,0,96,0,0,0,69585,50550,5400,63135
,,20000,20000,20000, 60 months,14.31%,468.59,C,C4,Risk Management Program Coordinator,< 1 year,MORTGAGE,84000,Source Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,277xx,NC,12.83,0,Aug-00,1,,,15,0,14761,37.90%,19,w,0,0,28017.74182,28017.74,20000,8017.74,0,0,0,Dec-19,94.78,,Nov-19,0,,1,Individual,,,,0,0,209346,,,,,,,,,,,,38900,,,,9,13956,4156,76.1,0,0,81,101,3,3,3,3,,3,,0,3,6,5,6,3,12,13,6,15,0,0,0,3,100,20,0,0,249717,29430,17400,23374
,,20000,20000,20000, 36 months,11.99%,664.2,B,B5,Teacher/Admin,10+ years,MORTGAGE,100000,Source Verified,Dec-14,Fully Paid,n,,,credit_card,Credit card refinancing,300xx,GA,24.7,0,Aug-89,0,33,,5,0,7698,90.60%,26,f,0,0,22292.87,22292.87,20000,2292.87,0,0,0,Feb-16,14342.45,,Oct-21,0,,1,Individual,,,,0,0,296631,,,,,,,,,,,,10000,,,,1,59326,802,90.6,0,0,161,304,11,11,2,11,38,13,38,0,1,1,1,10,10,2,14,1,5,0,0,0,1,80,100,0,0,331800,127627,8500,129708
,,4600,4600,4600, 36 months,10.49%,149.49,B,B3,Production Assistant,6 years,RENT,40000,Not Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,900xx,CA,29.33,0,Feb-94,1,26,46,13,1,7568,56.50%,22,f,0,0,5330.770107,5330.77,4600,730.77,0,0,0,Apr-17,1448.05,,Aug-20,0,58,1,Individual,,,,0,6449,25659,,,,,,,,,,,,13400,,,,5,1974,3255,52.8,0,0,224,172,6,6,0,6,26,6,26,3,3,7,3,9,3,9,17,7,13,0,0,0,3,85.7,33.3,0,0,38015,25659,6900,17020
,,21000,21000,21000, 36 months,8.67%,664.58,B,B1,Senior Software Engineer,10+ years,OWN,120000,Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,958xx,CA,19.21,0,Sep-96,1,40,,5,0,6131,94.30%,14,f,0,0,23747.83319,23747.83,21000,2747.83,0,0,0,Apr-17,6467.75,,Apr-21,0,40,1,Individual,,,,0,0,428849,,,,,,,,,,,,6500,,,,3,85770,369,94.3,0,0,219,163,49,3,2,49,,3,61,3,1,1,1,3,8,1,4,1,5,0,0,0,3,76.9,100,0,0,447456,38929,6500,49956
,,5000,5000,5000, 36 months,12.39%,167.01,C,C1,Truck Driver,2 years,MORTGAGE,65000,Verified,Dec-14,Charged Off,n,,,home_improvement,Home improvement,300xx,GA,11.39,0,Feb-02,1,33,,10,0,3432,22.10%,15,f,0,0,3888.96,3888.96,2832.6,836.46,0,219.9,39.582,Nov-16,167.01,,Apr-17,0,,1,Individual,,,,0,237,18590,,,,,,,,,,,,15500,,,,9,1859,3401,42.4,0,0,43,47,4,4,0,8,,0,,0,4,5,4,8,1,8,13,5,10,0,0,0,5,93.3,0,0,0,33549,18590,5900,18049
,,18700,18700,18700, 36 months,10.49%,607.71,B,B3,DC1,10+ years,RENT,80000,Source Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,077xx,NJ,15.97,0,Mar-04,0,41,,7,0,7441,57.20%,21,f,0,0,20591.47,20591.47,18700,1891.47,0,0,0,Feb-16,13315.3,,Sep-20,0,41,1,Individual,,,,0,0,24069,,,,,,,,,,,,13000,,,,4,4012,5559,57.2,0,0,129,129,9,9,0,9,,9,,1,2,2,3,9,10,4,11,2,7,0,0,0,2,100,66.7,0,0,53930,24069,13000,40930
,,24000,24000,24000, 60 months,19.24%,625.75,E,E2,Logistics Team Lead,2 years,OWN,55000,Source Verified,Dec-14,Fully Paid,n,,,home_improvement,Home improvement,337xx,FL,7.42,0,Dec-09,2,,,8,0,73,0.50%,19,f,0,0,28599.04,28599.04,24000,4599.04,0,0,0,Jan-16,21754.27,,Dec-17,0,,1,Individual,,,,0,0,60388,,,,,,,,,,,,14500,,,,5,7549,8827,0.8,0,0,58,60,15,3,0,15,,3,,0,1,1,4,4,13,6,6,1,8,0,0,0,2,100,0,0,0,75148,60388,8900,60648
,,5000,5000,5000, 36 months,12.39%,167.01,C,C1,LVN,4 years,MORTGAGE,45000,Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,750xx,TX,22.42,0,Jan-03,0,,63,11,1,6450,35.40%,21,f,0,0,5911.768187,5911.77,5000,911.77,0,0,0,Feb-17,1908.69,,Aug-21,0,,1,Individual,,,,0,0,81180,,,,,,,,,,,,18200,,,,7,7380,3895,48.7,0,0,125,136,12,9,5,16,,3,,0,3,8,3,5,2,9,14,8,11,0,0,0,5,100,33.3,1,0,97573,38641,7600,34573
,,2800,2800,2800, 36 months,9.49%,89.68,B,B2,Cybersecuriity specialst,2 years,MORTGAGE,109000,Source Verified,Dec-14,Fully Paid,n,,,home_improvement,Home improvement,234xx,VA,24.69,0,Oct-98,0,,,15,0,107861,85%,40,f,0,0,3005.2,3005.2,2800,205.2,0,0,0,Nov-15,2200.29,,Dec-21,0,,1,Individual,,,,0,0,629294,,,,,,,,,,,,112400,,,,6,41953,145,96.5,0,0,150,194,19,8,8,36,,13,,0,4,9,4,8,15,9,17,9,14,0,0,0,2,100,100,0,0,691092,154379,7500,61692
,,8000,8000,8000, 36 months,12.39%,267.21,C,C1,Technical Support Associate,1 year,RENT,50000,Source Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,951xx,CA,15.45,0,Aug-10,0,,,12,0,7463,56.10%,14,f,0,0,9289.18,9289.18,8000,1289.18,0,0,0,Sep-16,4220.45,,Oct-17,0,,1,Individual,,,,0,0,23411,,,,,,,,,,,,13300,,,,6,2128,2007,78.4,0,0,50,52,3,3,0,3,,1,,0,4,5,4,5,4,8,10,5,12,0,0,0,2,100,50,0,0,33736,23411,9300,20436
,,16375,16375,16375, 36 months,18.54%,596.45,E,E1,rn,10+ years,MORTGAGE,75000,Source Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,750xx,TX,24.4,0,Dec-86,1,41,110,13,1,6239,26.40%,24,f,0,0,19300.78,19300.78,16375,2925.78,0,0,0,Feb-16,12168.68,,Mar-21,0,,1,Individual,,,,0,79,54923,,,,,,,,,,,,23600,,,,8,4577,64,98.2,0,0,160,336,4,2,0,13,,4,41,0,2,6,3,5,10,9,14,6,13,0,0,0,4,95.8,100,1,0,82452,54923,3500,58852
,,28000,28000,28000, 36 months,14.99%,970.5,C,C5,Application Software Developer,3 years,MORTGAGE,95000,Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,442xx,OH,21.12,0,Dec-99,4,,,31,0,25763,33.70%,42,f,0,0,33754.03,33754.03,28000,5754.03,0,0,0,Nov-16,13375.1,,Sep-21,0,,1,Individual,,,,0,0,184802,,,,,,,,,,,,76500,,,,11,5961,30112,43.1,0,0,180,116,3,3,2,4,,4,,0,10,17,13,14,15,23,25,17,31,0,0,0,8,100,7.7,0,0,253928,61216,52900,48082
,,6000,6000,6000, 36 months,12.39%,200.41,C,C1,Bus Friver,4 years,MORTGAGE,26000,Not Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,481xx,MI,28.81,2,Nov-98,0,14,,12,0,30251,90.80%,24,f,0,0,7208.357885,7208.36,6000,1208.36,0,0,0,Jan-18,200.21,,Feb-18,0,19,1,Individual,,,,0,0,218152,,,,,,,,,,,,33300,,,,1,21815,888,83.6,0,0,99,193,30,9,2,71,47,18,30,5,1,4,1,8,4,8,18,4,12,0,0,1,1,62.5,100,0,0,269654,48959,5400,34354
,,35000,35000,35000, 36 months,17.86%,1262.88,D,D5,Consultant,7 years,RENT,78800,Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,223xx,VA,10.94,0,Apr-03,0,,,10,0,23260,65.60%,24,f,0,0,44485.88312,44485.88,35000,9422.74,63.14000004,0,0,Feb-17,14011.14,,Feb-17,0,,1,Individual,,,,0,0,31564,,,,,,,,,,,,31800,,,,4,3946,1240,92.9,0,0,122,140,12,12,0,12,,13,,0,4,4,4,7,9,8,14,4,10,0,0,0,1,100,100,0,0,44300,31564,24500,12500
,,10375,10375,10375, 36 months,13.66%,352.89,C,C3,Dept. Manager,10+ years,RENT,29000,Source Verified,Dec-14,Fully Paid,n,,,debt_consolidation,Debt consolidation,347xx,FL,35.64,0,Jun-01,1,,,11,0,11343,47.30%,18,f,0,0,10686.91,10686.91,10375,311.91,0,0,0,Mar-15,10345.83,,Mar-15,0,,1,Individual,,,,0,110,26790,,,,,,,,,,,,24000,,,,2,2679,5290,65,0,0,162,117,0,0,0,51,,0,,0,5,7,5,7,5,10,13,7,11,0,0,0,1,100,0,0,0,49622,26790,15100,25622
